Book_ID	Reservation_Date	Checkout_Date	Return_Date	Member_ID
1		01/01/2016	03/01/2016	3456
1	02/01/2016	04/01/2016	10/01/2016	2345
1		11/01/2016	15/01/2016	4678
1		16/01/2016	19/02/2016	6475
2		02/04/2017	04/04/2017	7546
2	03/04/2017	05/04/2017	10/04/2017	7546
2	07/04/2017	11/04/2017	15/05/2017	4805
2		17/05/2017	29/05/2017	9402
3		04/07/2018	09/07/2018	5678
3	08/07/2016	10/07/2018	29/07/2018	9078
3		01/03/2019	01/05/2019	1243
3	23/04/2019	02/05/2019	05/05/2019	7890
4		06/05/2019	08/05/2019	7689
4	01/05/2016	09/05/2016	11/05/2016	2357
4		19/05/2019	23/05/2019	1456
4		25/05/2019	29/05/2019	2345
5	13/03/2019	15/03/2019	18/03/2019	4950
5		19/03/2019	28/03/2019	3994
5		01/04/2019	15/04/2019	6374
5	14/04/2019	01/05/2019	06/05/2019	6023
6		28/05/2019	28/06/2019	8097
6	01/06/2019	29/06/2019	01/07/2019	9802
6		04/07/2019	14/07/2019	1967
7		04/07/2019	08/07/2019	2245
7	07/07/2019	09/07/2019	18/07/2019	6560
7		20/07/2019	25/07/2019	5936
7		01/08/2019	05/08/2019	7992
7	04/08/2019	06/08/2019	16/08/2019	2958
7		27/08/2019	06/09/2019	7832
8		01/08/2019	05/08/2019	7863
8		06/08/2019	16/08/2019	7778
8	14/08/2019	17/08/2019	19/08/2019	5576
8		21/08/2019	27/08/2019	8568
8	25/08/2019	29/08/2019	14/09/2019	4413
8		15/09/2019	19/09/2019	6128
9		01/09/2019	15/09/2019	4261
9	10/09/2019	16/09/2019	26/09/2019	6953
9		01/10/2019	10/10/2019	8312
9	08/10/2019	11/10/2019	18/10/2019	7171
9		19/10/2019	29/10/2019	9061
9		30/10/2019	14/11/2019	6155
10		01/09/2019	09/09/2019	5226
10	08/09/2019	10/09/2019	15/09/2019	3564
10		16/09/2019	18/09/2019	6221
10		19/09/2019	20/09/2019	1071
10		25/09/2019	30/09/2019	7691
10	28/09/2019	01/10/2019	09/10/2019	6556
10		10/10/2019	18/10/2019	4813
10	17/10/2019	19/10/2019	29/10/2019	3963
11		01/03/2019	03/03/2019	1784
11	02/03/2019	04/03/2019	07/03/2019	9961
11		10/03/2019	15/03/2019	9580
11	12/03/2019	16/03/2019	18/03/2019	8609
11		20/03/2019	15/03/2019	5846
12		01/04/2019	05/04/2019	4983
12	04/04/2019	06/04/2019	10/04/2019	8319
12		14/04/2019	17/04/2019	6625
12	16/04/2019	18/04/2019	26/04/2019	5902
12		27/04/2019	14/05/2019	4983
12		18/05/2019	28/05/2019	1730
13		01/05/2019	10/05/2019	6196
13	08/05/2019	11/05/2019	18/05/2019	6310
13		20/05/2019	25/05/2019	9448
13	23/05/2019	26/05/2019	01/06/2019	5988
13		02/06/2019	20/06/2019	1547
13		21/06/2019	29/06/2019	8182
14		01/05/2019	14/05/2019	1589
14	12/05/2019	15/05/2019	17/05/2019	7863
14		18/05/2019	29/05/2019	8356
14	28/05/2019	01/06/2019	06/06/2019	7605
14		08/06/2019	12/06/2019	4991
14		14/06/2019	16/06/2019	1765
14	15/06/2019	17/06/2019	19/06/2019	8930
14		20/06/2019	29/06/2019	1597
14	28/06/2019	01/07/2019	11/07/2019	5346
14		12/07/2019	16/07/2019	5373
14	15/07/2019	17/07/2019	20/07/2019	7245
14		22/07/2019	24/07/2019	3625
14		25/07/2019	28/07/2019	8382
14	27/07/2019	29/07/2019	01/08/2019	9508
14		02/08/2019	15/08/2019	5386
14		17/08/2019	19/08/2019	1058
